Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:51:00      05:51:00      05:51:00      254.999       250.766       0.0000
05:51:01      05:51:01      05:51:01      255.000       250.767       0.0000
05:51:02      05:51:02      05:51:02      254.999       250.768       0.0000
05:51:03      05:51:03      05:51:03      254.999       250.764       0.0000
05:51:04      05:51:04      05:51:04      254.999       250.763       0.0000
05:51:05      05:51:05      05:51:05      254.999       250.762       0.0000
05:51:06      05:51:06      05:51:06      254.999       250.763       0.0000
05:51:07      05:51:07      05:51:07      254.999       250.766       0.0000
05:51:08      05:51:08      05:51:08      254.999       250.761       0.0000
05:51:09      05:51:09      05:51:09      254.999       250.763       0.0000
05:51:10      05:51:10      05:51:10      254.999       250.761       0.0000
05:51:11      05:51:11      05:51:11      255.000       250.761       0.0000
05:51:12      05:51:12      05:51:12      255.001       250.760       0.0000
05:51:14      05:51:14      05:51:14      254.999       250.763       0.0000
05:51:15      05:51:15      05:51:15      255.000       250.763       0.0000
05:51:16      05:51:16      05:51:16      254.999       250.759       0.0000
05:51:17      05:51:17      05:51:17      254.999       250.759       0.0000
05:51:18      05:51:18      05:51:18      255.001       250.759       0.0000
05:51:19      05:51:19      05:51:19      255.000       250.756       0.0000
05:51:20      05:51:20      05:51:20      255.000       250.755       0.0000
05:51:21      05:51:21      05:51:21      254.999       250.756       0.0000
05:51:22      05:51:22      05:51:22      254.999       250.755       0.0000
05:51:23      05:51:23      05:51:23      255.000       250.757       0.0000
05:51:24      05:51:24      05:51:24      255.000       250.757       0.0000
05:51:25      05:51:25      05:51:25      255.000       250.755       0.0000
05:51:26      05:51:26      05:51:26      254.999       250.756       0.0000
05:51:27      05:51:27      05:51:27      254.999       250.759       0.0000
05:51:28      05:51:28      05:51:28      255.000       250.762       0.0000
05:51:29      05:51:29      05:51:29      254.999       250.761       0.0000
05:51:30      05:51:30      05:51:30      255.000       250.757       0.0000
05:51:31      05:51:31      05:51:31      255.000       250.760       0.0000
05:51:32      05:51:32      05:51:32      254.999       250.762       0.0000
05:51:34      05:51:34      05:51:34      254.999       250.763       0.0000
05:51:35      05:51:35      05:51:35      254.999       250.766       0.0000
05:51:36      05:51:36      05:51:36      255.000       250.766       0.0000
05:51:37      05:51:37      05:51:37      255.001       250.765       0.0000
05:51:38      05:51:38      05:51:38      255.001       250.761       0.0000
05:51:39      05:51:39      05:51:39      254.999       250.761       0.0000
05:51:40      05:51:40      05:51:40      255.000       250.757       0.0000
05:51:41      05:51:41      05:51:41      255.000       250.756       0.0000
05:51:42      05:51:42      05:51:42      254.999       250.756       0.0000
05:51:43      05:51:43      05:51:43      254.998       250.751       0.0000
05:51:44      05:51:44      05:51:44      254.998       250.752       0.0000
05:51:45      05:51:45      05:51:45      254.999       250.747       0.0000
05:51:46      05:51:46      05:51:46      254.999       250.748       0.0000
05:51:47      05:51:47      05:51:47      254.999       250.746       0.0000
05:51:48      05:51:48      05:51:48      255.000       250.747       0.0000
05:51:49      05:51:49      05:51:49      254.999       250.747       0.0000
05:51:50      05:51:50      05:51:50      254.998       250.745       0.0000
05:51:51      05:51:51      05:51:51      254.999       250.744       0.0000
05:51:52      05:51:52      05:51:52      254.999       250.743       0.0000
05:51:54      05:51:54      05:51:54      255.000       250.742       0.0000
05:51:55      05:51:55      05:51:55      255.000       250.745       0.0000
05:51:56      05:51:56      05:51:56      255.000       250.746       0.0000
05:51:57      05:51:57      05:51:57      254.999       250.745       0.0000
05:51:58      05:51:58      05:51:58      254.998       250.745       0.0000
05:51:59      05:51:59      05:51:59      254.999       250.745       0.0000
05:52:00      05:52:00      05:52:00      255.001       250.744       0.0000
05:52:01      05:52:01      05:52:01      255.000       250.745       0.0000
05:52:02      05:52:02      05:52:02      254.999       250.744       0.0000
05:52:03      05:52:03      05:52:03      254.999       250.746       0.0000
05:52:04      05:52:04      05:52:04      255.000       250.748       0.0000
05:52:05      05:52:05      05:52:05      255.000       250.749       0.0000
05:52:06      05:52:06      05:52:06      255.000       250.747       0.0000
05:52:07      05:52:07      05:52:07      254.999       250.753       0.0000
05:52:08      05:52:08      05:52:08      255.000       250.748       0.0000
05:52:09      05:52:09      05:52:09      255.000       250.754       0.0000
05:52:10      05:52:10      05:52:10      255.001       250.762       0.0000
05:52:11      05:52:11      05:52:11      255.000       250.760       0.0000
05:52:13      05:52:13      05:52:13      255.000       250.758       0.0000
05:52:14      05:52:14      05:52:14      254.999       250.755       0.0000
05:52:15      05:52:15      05:52:15      254.999       250.755       0.0000
05:52:16      05:52:16      05:52:16      254.999       250.751       0.0000
05:52:17      05:52:17      05:52:17      254.999       250.746       0.0000
05:52:18      05:52:18      05:52:18      254.999       250.746       0.0000
05:52:19      05:52:19      05:52:19      254.999       250.744       0.0000
05:52:20      05:52:20      05:52:20      254.998       250.744       0.0000
05:52:21      05:52:21      05:52:21      254.998       250.746       0.0000
05:52:22      05:52:22      05:52:22      254.997       250.742       0.0000
05:52:23      05:52:23      05:52:23      254.999       250.743       0.0000
05:52:24      05:52:24      05:52:24      254.999       250.744       0.0000
05:52:25      05:52:25      05:52:25      254.999       250.739       0.0000
05:52:26      05:52:26      05:52:26      254.999       250.743       0.0000
05:52:27      05:52:27      05:52:27      255.000       250.740       0.0000
05:52:28      05:52:28      05:52:28      255.000       250.740       0.0000
05:52:29      05:52:29      05:52:29      255.000       250.738       0.0000
05:52:30      05:52:30      05:52:30      255.000       250.738       0.0000
05:52:31      05:52:31      05:52:31      254.999       250.738       0.0000
05:52:32      05:52:32      05:52:32      254.999       250.737       0.0000
05:52:34      05:52:34      05:52:34      255.001       250.734       0.0000
05:52:35      05:52:35      05:52:35      255.002       250.736       0.0000
05:52:36      05:52:36      05:52:36      255.000       250.732       0.0000
05:52:37      05:52:37      05:52:37      255.000       250.732       0.0000
05:52:38      05:52:38      05:52:38      255.000       250.732       0.0000
05:52:39      05:52:39      05:52:39      254.999       250.728       0.0000
05:52:40      05:52:40      05:52:40      255.000       250.730       0.0000
05:52:41      05:52:41      05:52:41      255.001       250.728       0.0000
05:52:42      05:52:42      05:52:42      255.001       250.730       0.0000
05:52:43      05:52:43      05:52:43      255.000       250.727       0.0000
05:52:44      05:52:44      05:52:44      255.001       250.728       0.0000
05:52:45      05:52:45      05:52:45      254.998       250.726       0.0000
05:52:46      05:52:46      05:52:46      254.998       250.727       0.0000
05:52:47      05:52:47      05:52:47      254.998       250.727       0.0000
05:52:48      05:52:48      05:52:48      254.998       250.725       0.0000
05:52:49      05:52:49      05:52:49      254.998       250.725       0.0000
05:52:50      05:52:50      05:52:50      254.998       250.722       0.0000
05:52:52      05:52:52      05:52:52      254.998       250.726       0.0000
05:52:53      05:52:53      05:52:53      254.998       250.724       0.0000
05:52:54      05:52:54      05:52:54      254.998       250.725       0.0000
