1	255.003	250.812	0
2	255.003	250.81	0
3	255.002	250.811	0
4	255.001	250.808	0
5	255.003	250.813	0
6	255.002	250.816	0
7	255.001	250.82	0
8	255.002	250.817	0
9	255.001	250.82	0
10	255.001	250.818	0
11	255.001	250.815	0
12	255.001	250.812	0
13	255.002	250.811	0
14	255.002	250.807	0
15	255.001	250.803	0
16	255	250.802	0
17	255	250.799	0
18	255	250.798	0
19	255	250.796	0
20	255	250.797	0
21	255	250.794	0
22	255	250.792	0
23	255	250.795	0
24	255	250.796	0
25	255	250.797	0
26	254.999	250.796	0
27	255	250.795	0
28	255	250.797	0
29	254.999	250.795	0
30	254.999	250.796	0
31	254.999	250.795	0
32	254.999	250.797	0
33	254.998	250.794	0
34	254.998	250.793	0
35	254.999	250.792	0
36	254.999	250.788	0
37	255	250.788	0
38	254.999	250.786	0
39	255	250.787	0
40	255	250.786	0
41	254.999	250.783	0
42	254.999	250.784	0
43	255.001	250.785	0
44	254.999	250.781	0
45	254.999	250.781	0
46	255	250.783	0
47	254.999	250.792	0
48	254.999	250.796	0
49	255	250.798	0
50	255.001	250.796	0
51	255	250.796	0
52	255.001	250.795	0
53	255.003	250.795	0
54	255.001	250.798	0
55	255.001	250.797	0
56	255.001	250.793	0
57	255	250.789	0
58	254.999	250.787	0
59	254.999	250.784	0
60	254.999	250.784	0
61	254.999	250.782	0
62	254.999	250.78	0
63	254.999	250.782	0
64	255.001	250.785	0
65	255.002	250.79	0
66	255.001	250.79	0
67	255	250.79	0
68	254.999	250.792	0
69	255	250.796	0
70	254.998	250.798	0
71	255	250.798	0
72	255.001	250.798	0
73	255.001	250.79	0
74	255.001	250.795	0
75	255.001	250.795	0
76	255	250.795	0
77	254.999	250.797	0
78	254.999	250.797	0
79	255	250.795	0
80	254.999	250.798	0
81	254.999	250.795	0
82	254.999	250.792	0
83	255	250.788	0
84	255	250.786	0
85	255	250.785	0
86	255	250.786	0
87	255	250.782	0
88	254.999	250.781	0
89	254.998	250.781	0
90	254.997	250.78	0
91	254.999	250.782	0
92	254.999	250.786	0
93	254.999	250.78	0
94	254.999	250.783	0
95	255	250.78	0
96	254.999	250.775	0
97	254.999	250.772	0
98	255	250.774	0
99	255.001	250.776	0
100	255	250.775	0
101	254.999	250.771	0
102	255	250.769	0
103	254.999	250.766	0
104	255	250.767	0
105	254.999	250.768	0
106	254.999	250.764	0
107	254.999	250.763	0
108	254.999	250.762	0
109	254.999	250.763	0
110	254.999	250.766	0
111	254.999	250.761	0
112	254.999	250.763	0
113	254.999	250.761	0
114	255	250.761	0
115	255.001	250.76	0
116	254.999	250.763	0
117	255	250.763	0
118	254.999	250.759	0
119	254.999	250.759	0
120	255.001	250.759	0
121	255	250.756	0
122	255	250.755	0
123	254.999	250.756	0
124	254.999	250.755	0
125	255	250.757	0
126	255	250.757	0
127	255	250.755	0
128	254.999	250.756	0
129	254.999	250.759	0
130	255	250.762	0
131	254.999	250.761	0
132	255	250.757	0
133	255	250.76	0
134	254.999	250.762	0
135	254.999	250.763	0
136	254.999	250.766	0
137	255	250.766	0
138	255.001	250.765	0
139	255.001	250.761	0
140	254.999	250.761	0
141	255	250.757	0
142	255	250.756	0
143	254.999	250.756	0
144	254.998	250.751	0
145	254.998	250.752	0
146	254.999	250.747	0
147	254.999	250.748	0
148	254.999	250.746	0
149	255	250.747	0
150	254.999	250.747	0
151	254.998	250.745	0
152	254.999	250.744	0
153	254.999	250.743	0
154	255	250.742	0
155	255	250.745	0
156	255	250.746	0
157	254.999	250.745	0
158	254.998	250.745	0
159	254.999	250.745	0
160	255.001	250.744	0
161	255	250.745	0
162	254.999	250.744	0
163	254.999	250.746	0
164	255	250.748	0
165	255	250.749	0
166	255	250.747	0
167	254.999	250.753	0
168	255	250.748	0
169	255	250.754	0
170	255.001	250.762	0
171	255	250.76	0
172	255	250.758	0
173	254.999	250.755	0
174	254.999	250.755	0
175	254.999	250.751	0
176	254.999	250.746	0
177	254.999	250.746	0
178	254.999	250.744	0
179	254.998	250.744	0
180	254.998	250.746	0
181	254.997	250.742	0
182	254.999	250.743	0
183	254.999	250.744	0
184	254.999	250.739	0
185	254.999	250.743	0
186	255	250.74	0
187	255	250.74	0
188	255	250.738	0
189	255	250.738	0
190	254.999	250.738	0
191	254.999	250.737	0
192	255.001	250.734	0
193	255.002	250.736	0
194	255	250.732	0
195	255	250.732	0
196	255	250.732	0
197	254.999	250.728	0
198	255	250.73	0
199	255.001	250.728	0
200	255.001	250.73	0
201	255	250.727	0
202	255.001	250.728	0
203	254.998	250.726	0
204	254.998	250.727	0
205	254.998	250.727	0
206	254.998	250.725	0
207	254.998	250.725	0
208	254.998	250.722	0
209	254.998	250.726	0
210	254.998	250.724	0
211	254.998	250.725	0
212	254.999	250.726	0
213	254.999	250.725	0
214	254.998	250.725	0
215	254.999	250.727	0
216	254.998	250.725	0
217	254.999	250.728	0
218	254.999	250.727	0
219	254.997	250.727	0
220	254.998	250.726	0
221	254.999	250.724	0
222	254.999	250.721	0
223	254.999	250.721	0
224	254.998	250.721	0
225	254.998	250.719	0
226	254.998	250.716	0
227	254.998	250.716	0
228	254.998	250.717	0
229	254.998	250.719	0
